--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
011.029  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
011.836  000.072  000.072: require('dap.utils')
011.889  000.859  000.787: require('dap')
012.014  000.046  000.046: require('nio.tasks')
012.059  000.045  000.045: require('nio.control')
012.226  000.166  000.166: require('nio.uv')
012.262  000.034  000.034: require('nio.tests')
012.339  000.049  000.049: require('vim.ui')
012.359  000.096  000.047: require('nio.ui')
012.429  000.033  000.033: require('nio.streams')
012.431  000.072  000.039: require('nio.file')
012.528  000.028  000.028: require('nio.util')
012.606  000.071  000.071: require('vim.iter')
012.624  000.160  000.060: require('nio.logger')
012.628  000.197  000.037: require('nio.lsp')
012.662  000.032  000.032: require('nio.process')
012.669  000.734  000.046: require('nio')
013.094  000.008  000.008: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
013.100  000.101  000.093: require('dapui.config.highlights')
013.122  000.017  000.017: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
013.154  000.386  000.268: require('dapui.config')
013.162  000.446  000.060: require('dapui.util')
013.296  000.133  000.133: require('dapui.windows.layout')
013.304  000.634  000.055: require('dapui.windows')
013.371  000.066  000.066: require('dapui.controls')
013.384  001.494  000.060: require('dapui')
013.719  000.003  000.003: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
013.744  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
013.958  000.020  000.020: require('mason-core.path')
014.034  000.019  000.019: require('mason-core.functional.data')
014.059  000.024  000.024: require('mason-core.functional.function')
014.097  000.035  000.035: require('mason-core.functional.list')
014.123  000.022  000.022: require('mason-core.functional.relation')
014.145  000.021  000.021: require('mason-core.functional.logic')
014.168  000.020  000.020: require('mason-core.functional.number')
014.207  000.037  000.037: require('mason-core.functional.string')
014.230  000.020  000.020: require('mason-core.functional.table')
014.252  000.020  000.020: require('mason-core.functional.type')
014.253  000.265  000.048: require('mason-core.functional')
014.266  000.307  000.041: require('mason-core.platform')
014.293  000.026  000.026: require('mason.settings')
014.295  000.410  000.057: require('mason-core.installer.InstallLocation')
014.370  000.034  000.034: require('mason-core.log')
014.371  000.053  000.019: require('mason-core.EventEmitter')
014.400  000.028  000.028: require('mason-registry.sources')
014.402  000.106  000.026: require('mason-registry')
014.403  000.648  000.131: require('mason')
014.580  000.059  000.059: require('mason.api.command')
014.586  001.171  000.461: require('mason-core.log')
014.588  001.202  000.031: require('mason-nvim-dap')
014.622  000.033  000.033: require('mason-nvim-dap.settings')
014.696  000.020  000.020: require('mason-core.optional')
014.718  000.021  000.021: require('mason-nvim-dap.mappings.source')
